Waterbody,Parameter,Impairment Status,Year,Include,Number of Samples,Number of detects,Number of Detects,Number of likely unflagged NDs,% of samples DL > CCC,CCC_e,CMC_e,D_e,min_e,max_e,CCC_ef,CMC_ef,D_ef
Anacostia Lower,Arsenic,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Copper,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Zinc,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,DDD,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,DDE,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,DDT,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Chlordane,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Dieldrin,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,Heptachlor epoxide,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,PAH1,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,PAH2,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Lower,PAH3,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Arsenic,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Copper,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
