Lookup	Segment	parameter	ccc	cmc	d	min	max
Anacostia Lowerarsenic	Anacostia Lower	arsenic	150	340	0.14		
Anacostia Lowercopper	Anacostia Lower	copper	9.490974083	14.32737507	-		
Anacostia Lowerlead	Anacostia Lower	lead	2.709617474	69.533418	-		
Anacostia Lowermercury	Anacostia Lower	mercury	0.77	1.4	0.15		
Anacostia Lowerzinc	Anacostia Lower	zinc	125.1381099	124.1227905	-		
Anacostia Lowerchlordane	Anacostia Lower	chlordane	0.0043	2.4	0.00081		
Anacostia Lowerddd	Anacostia Lower	ddd	0.001	1.1	0.00031		
Anacostia Lowerdde	Anacostia Lower	dde	0.001	1.1	0.00022		
Anacostia Lowerddt	Anacostia Lower	ddt	0.001	1.1	0.00022		
Anacostia Lowerdieldrin	Anacostia Lower	dieldrin	0.056	0.24	0.000054		
Anacostia Lowerheptachlor epoxide	Anacostia Lower	heptachlor epoxide	0.0038	0.52	0.000039		
Anacostia Lowerpah1	Anacostia Lower	pah1	50	-	990		
Anacostia Lowerpah2	Anacostia Lower	pah2	400	-	0.018		
Anacostia Lowerpah3	Anacostia Lower	pah3	-	-	0.018		
Anacostia Upperarsenic	Anacostia Upper	arsenic	150	340	0.14		
Anacostia Uppercopper	Anacostia Upper	copper	8.649399207	12.93311444	-		
Anacostia Upperlead	Anacostia Upper	lead	2.407403804	61.77809842	-		
Anacostia Uppermercury	Anacostia Upper	mercury	0.77	1.4	0.15		
Anacostia Upperzinc	Anacostia Upper	zinc	114.1312364	113.2052223	-		
Anacostia Upperchlordane	Anacostia Upper	chlordane	0.0043	2.4	0.00081		
Anacostia Upperddd	Anacostia Upper	ddd	0.001	1.1	0.00031		
Anacostia Upperdde	Anacostia Upper	dde	0.001	1.1	0.00022		
Anacostia Upperddt	Anacostia Upper	ddt	0.001	1.1	0.00022		
Anacostia Upperdieldrin	Anacostia Upper	dieldrin	0.056	0.24	0.000054		
Anacostia Upperheptachlor epoxide	Anacostia Upper	heptachlor epoxide	0.0038	0.52	0.000039		
Anacostia Upperpah1	Anacostia Upper	pah1	50	-	990		
Anacostia Upperpah2	Anacostia Upper	pah2	400	-	0.018		
Anacostia Upperpah3	Anacostia Upper	pah3	-	-	0.018		
Battery Kemble Creekarsenic	Battery Kemble Creek	arsenic	150	340	0.14		
Battery Kemble Creekcopper	Battery Kemble Creek	copper	14.27449768	22.47027576	-		
Battery Kemble Creeklead	Battery Kemble Creek	lead	4.533554308	116.3387562	-		
Battery Kemble Creekmercury	Battery Kemble Creek	mercury	0.77	1.4	0.15		
Battery Kemble Creekzinc	Battery Kemble Creek	zinc	187.5625517	186.040746	-		
Battery Kemble Creekchlordane	Battery Kemble Creek	chlordane	0.0043	2.4	0.00081		
Battery Kemble Creekddd	Battery Kemble Creek	ddd	0.001	1.1	0.00031		
Battery Kemble Creekdde	Battery Kemble Creek	dde	0.001	1.1	0.00022		
Battery Kemble Creekddt	Battery Kemble Creek	ddt	0.001	1.1	0.00022		
Battery Kemble Creekdieldrin	Battery Kemble Creek	dieldrin	0.056	0.24	0.000054		
Battery Kemble Creekheptachlor epoxide	Battery Kemble Creek	heptachlor epoxide	0.0038	0.52	0.000039		
Battery Kemble Creekpah1	Battery Kemble Creek	pah1	50	-	990		
Battery Kemble Creekpah2	Battery Kemble Creek	pah2	400	-	0.018		
Battery Kemble Creekpah3	Battery Kemble Creek	pah3	-	-	0.018		
Broad Brancharsenic	Broad Branch	arsenic	150	340	0.14		
Broad Branchcopper	Broad Branch	copper	10.74432187	16.42719894	-		
Broad Branchlead	Broad Branch	lead	3.171294367	81.38083656	-		
Broad Branchmercury	Broad Branch	mercury	0.77	1.4	0.15		
Broad Branchzinc	Broad Branch	zinc	141.515471	140.3672724	-		
Broad Branchchlordane	Broad Branch	chlordane	0.0043	2.4	0.00081		
Broad Branchddd	Broad Branch	ddd	0.001	1.1	0.00031		
Broad Branchdde	Broad Branch	dde	0.001	1.1	0.00022		
Broad Branchddt	Broad Branch	ddt	0.001	1.1	0.00022		
Broad Branchdieldrin	Broad Branch	dieldrin	0.056	0.24	0.000054		
Broad Branchheptachlor epoxide	Broad Branch	heptachlor epoxide	0.0038	0.52	0.000039		
Broad Branchpah1	Broad Branch	pah1	50	-	990		
Broad Branchpah2	Broad Branch	pah2	400	-	0.018		
Broad Branchpah3	Broad Branch	pah3	-	-	0.018		
C&O Canalarsenic	C&O Canal	arsenic	150	340	0.14		
C&O Canalcopper	C&O Canal	copper	11.74410334	18.12050104	-		
C&O Canallead	C&O Canal	lead	3.548492961	91.06039752	-		
C&O Canalmercury	C&O Canal	mercury	0.77	1.4	0.15		
C&O Canalzinc	C&O Canal	zinc	154.5678578	153.3137575	-		
C&O Canalchlordane	C&O Canal	chlordane	0.0043	2.4	0.00081		
C&O Canalddd	C&O Canal	ddd	0.001	1.1	0.00031		
C&O Canaldde	C&O Canal	dde	0.001	1.1	0.00022		
C&O Canalddt	C&O Canal	ddt	0.001	1.1	0.00022		
C&O Canaldieldrin	C&O Canal	dieldrin	0.056	0.24	0.000054		
C&O Canalheptachlor epoxide	C&O Canal	heptachlor epoxide	0.0038	0.52	0.000039		
C&O Canalpah1	C&O Canal	pah1	50	-	990		
C&O Canalpah2	C&O Canal	pah2	400	-	0.018		
C&O Canalpah3	C&O Canal	pah3	-	-	0.018		
Dalecarlia Tributaryarsenic	Dalecarlia Tributary	arsenic	150	340	0.14		
Dalecarlia Tributarycopper	Dalecarlia Tributary	copper	14.08100236	22.13465747	-		
Dalecarlia Tributarylead	Dalecarlia Tributary	lead	4.456838117	114.3700875	-		
Dalecarlia Tributarymercury	Dalecarlia Tributary	mercury	0.77	1.4	0.15		
Dalecarlia Tributaryzinc	Dalecarlia Tributary	zinc	185.0413603	183.5400105	-		
Dalecarlia Tributarychlordane	Dalecarlia Tributary	chlordane	0.0043	2.4	0.00081		
Dalecarlia Tributaryddd	Dalecarlia Tributary	ddd	0.001	1.1	0.00031		
Dalecarlia Tributarydde	Dalecarlia Tributary	dde	0.001	1.1	0.00022		
Dalecarlia Tributaryddt	Dalecarlia Tributary	ddt	0.001	1.1	0.00022		
