waterbody_segment,pollutant_name,ccc,cmc,d,criteria_unit
ANACOSTIA LOWER,ARSENIC,150,340,0.14,UG/L
ANACOSTIA LOWER,COPPER,9.49,14.3,,UG/L
ANACOSTIA LOWER,LEAD,4.39,129.42,,UG/L
ANACOSTIA LOWER,MERCURY,0.77,1.4,0.15,UG/L
ANACOSTIA LOWER,ZINC,125.1,124.1,26000,UG/L
ANACOSTIA UPPER,ARSENIC,150,340,0.14,UG/L
ANACOSTIA UPPER,COPPER,8.65,12.9,,UG/L
ANACOSTIA UPPER,LEAD,3.75,112.66,,UG/L
ANACOSTIA UPPER,MERCURY,0.77,1.4,0.15,UG/L
ANACOSTIA UPPER,ZINC,114.1,113.2,26000,UG/L
BATTERY KEMBLE CREEK,ARSENIC,150,340,0.14,UG/L
BATTERY KEMBLE CREEK,COPPER,14.31,22.5,,UG/L
BATTERY KEMBLE CREEK,LEAD,8.6,239.1,,UG/L
BATTERY KEMBLE CREEK,MERCURY,0.77,1.4,0.15,UG/L
BATTERY KEMBLE CREEK,ZINC,188,186.4,26000,UG/L
BROAD BRANCH,ARSENIC,150,340,0.14,UG/L
BROAD BRANCH,COPPER,10.76,16.5,,UG/L
BROAD BRANCH,LEAD,5.41,156.27,,UG/L
BROAD BRANCH,MERCURY,0.77,1.4,0.15,UG/L
BROAD BRANCH,ZINC,141.8,140.6,26000,UG/L
C&O CANAL,ARSENIC,150,340,0.14,UG/L
C&O CANAL,COPPER,11.72,18.1,,UG/L
C&O CANAL,LEAD,6.23,177.49,,UG/L
C&O CANAL,MERCURY,0.77,1.4,0.15,UG/L
C&O CANAL,ZINC,154.3,153,26000,UG/L
DALECARLIA TRIBUTARY,ARSENIC,150,340,0.14,UG/L
DALECARLIA TRIBUTARY,COPPER,14.09,22.2,,UG/L
DALECARLIA TRIBUTARY,LEAD,8.39,233.81,,UG/L
DALECARLIA TRIBUTARY,MERCURY,0.77,1.4,0.15,UG/L
DALECARLIA TRIBUTARY,ZINC,185.2,183.7,26000,UG/L
DUMBARTON OAKS,ARSENIC,150,340,0.14,UG/L
DUMBARTON OAKS,COPPER,10.76,16.5,,UG/L
DUMBARTON OAKS,LEAD,5.41,156.27,,UG/L
DUMBARTON OAKS,MERCURY,0.77,1.4,0.15,UG/L
DUMBARTON OAKS,ZINC,141.8,140.6,26000,UG/L
FENWICK BRANCH,ARSENIC,150,340,0.14,UG/L
FENWICK BRANCH,COPPER,10.76,16.5,,UG/L
FENWICK BRANCH,LEAD,5.41,156.27,,UG/L
FENWICK BRANCH,MERCURY,0.77,1.4,0.15,UG/L
FENWICK BRANCH,ZINC,141.8,140.6,26000,UG/L
