waterbody_segment,waterbody_segment_upper
ANACOSTIA LOWER,Anacostia Lower
ANACOSTIA UPPER,Anacostia Upper
BATTERY KEMBLE CREEK,Battery Kemble Creek
BROAD BRANCH,Broad Branch
C&O CANAL,C&O Canal
DALECARLIA TRIBUTARY,Dalecarlia Tributary
DUMBARTON OAKS,Dumbarton Oaks
FENWICK BRANCH,Fenwick Branch
FORT CHAPLIN TRIBUTARY,Fort Chaplin Tributary
FORT DAVIS TRIBUTARY,Fort Davis Tributary
FORT DUPONT TRIBUTARY,Fort Dupont Tributary
FORT STANTON TRIBUTARY,Fort Stanton Tributary
FOUNDRY BRANCH,Foundry Branch
HICKEY RUN,Hickey Run
KINGMAN LAKE,Kingman Lake
KLINGLE VALLEY,Klingle Valley
LUZON BRANCH,Luzon Branch
MELVIN HAZEN VALLEY BRANCH,Melvin Hazen Valley Branch
NASH RUN,Nash Run
NORMANSTONE CREEK,Normanstone Creek
OXON RUN,Oxon Run
PINEHURST BRANCH,Pinehurst Branch
PINEY BRANCH,Piney Branch
POPE BRANCH,Pope Branch
PORTAL BRANCH,Portal Branch
POTOMAC LOWER,Potomac Lower
POTOMAC MIDDLE,Potomac Middle
POTOMAC UPPER,Potomac Upper
ROCK CREEK LOWER,Rock Creek Lower
ROCK CREEK UPPER,Rock Creek Upper
SOAPSTONE CREEK,Soapstone Creek
TEXAS AVENUE TRIBUTARY,Texas Avenue Tributary
TIDAL BASIN,Tidal Basin
WASHINGTON SHIP CHANNEL,Washington Ship Channel
WATTS BRANCH LOWER,Watts Branch Lower
WATTS BRANCH UPPER,Watts Branch Upper
