"Waterbody","Pollutant","Pollutant Group","Current Categorization in 2020 IR","Class C Decision","Class C Case #","Class D Decision","Class D Case #","Reconciliation of Class C and Class D Categorization Decision"
"ANACOSTIA LOWER","ARSENIC","ARSENIC","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","ARSENIC","ARSENIC","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"DALECARLIA TRIBUTARY","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","ARSENIC","ARSENIC","3","Remove from Category 3",10,"Move to Category 5",7,"Move to Category 5"
"FENWICK BRANCH","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","ARSENIC","ARSENIC","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"FORT STANTON TRIBUTARY","ARSENIC","ARSENIC","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"HICKEY RUN","ARSENIC","ARSENIC","3","Remove from Category 3",10,"Keep in Category 3",11,"Keep in Category 3"
"KINGMAN LAKE","ARSENIC","ARSENIC","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"KLINGLE VALLEY","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","ARSENIC","3","Remove from Category 3",10,"Move to Category 5",7,"Move to Category 5"
"NASH RUN","ARSENIC","ARSENIC","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"NORMANSTONE CREEK","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
