"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"ANACOSTIA LOWER","ARSENIC","ARSENIC","DISSOLVED","4a","D","63","49","0","63","0","27","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"ANACOSTIA UPPER","ARSENIC","ARSENIC","DISSOLVED","4a","D","56","44","0","56","0","19","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"BROAD BRANCH","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","24","19","0","24","0","24","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","ARSENIC","ARSENIC","DISSOLVED","3","D","24","9","0","24","0","24","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","10"
"FENWICK BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","D","30","21","0","30","0","27","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"FORT STANTON TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","D","32","16","0","32","0","28","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"HICKEY RUN","ARSENIC","ARSENIC","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"KINGMAN LAKE","ARSENIC","ARSENIC","DISSOLVED","4a","D","25","21","0","25","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"KLINGLE VALLEY","ARSENIC","ARSENIC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","D","24","9","0","24","0","24","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","10"
"NASH RUN","ARSENIC","ARSENIC","DISSOLVED","4a","D","7","6","0","7","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"NORMANSTONE CREEK","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"OXON RUN","ARSENIC","ARSENIC","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","D","1","0","0","1","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"POPE BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","D","1","0","0","1","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"PORTAL BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","24","19","0","24","0","24","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
