"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceed-ance","Class C CCC Criterion (ug/L)","ccc_dl_ratio_range","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #","Updated TMDL?"
"ANACOSTIA LOWER","ARSENIC","ARSENIC","DISSOLVED","4a","24","52","40","0","52","0","40","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","ARSENIC","ARSENIC","DISSOLVED","4a","14","56","44","0","56","0","37","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 4a","3","Yes"
"BROAD BRANCH","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","11","0","13","0","13","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"DALECARLIA TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"DUMBARTON OAKS","ARSENIC","ARSENIC","DISSOLVED","3","13","13","6","0","13","0","13","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","10","No"
"FENWICK BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","19","19","13","0","19","0","16","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 4a","3","Yes"
"FORT STANTON TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","19","20","14","0","20","0","16","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 4a","3","Yes"
"HICKEY RUN","ARSENIC","ARSENIC","DISSOLVED","3","1","1","1","0","1","0","1","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","10","No"
"KINGMAN LAKE","ARSENIC","ARSENIC","DISSOLVED","4a","13","25","21","0","25","0","15","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 4a","3","Yes"
