"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"ANACOSTIA LOWER","ARSENIC","ARSENIC","TOTAL","4a","64","93","52","52","55","52","40","0","0.14","2.07 - 35.7","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","ARSENIC","ARSENIC","TOTAL","4a","54","171","56","56","65","56","37","0","0.14","2.07 - 35.7","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","ARSENIC","ARSENIC","TOTAL","Not Listed","37","37","10","10","16","10","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14"
"DALECARLIA TRIBUTARY","ARSENIC","ARSENIC","TOTAL","3","39","39","0","0","3","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","ARSENIC","ARSENIC","TOTAL","3","37","37","8","8","16","8","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","7"
"FENWICK BRANCH","ARSENIC","ARSENIC","TOTAL","3","24","24","0","0","3","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","45","45","14","14","22","14","16","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"FORT STANTON TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","55","56","14","14","23","14","16","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"HICKEY RUN","ARSENIC","ARSENIC","TOTAL","3","41","41","1","1","3","1","1","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 3","11"
"KINGMAN LAKE","ARSENIC","ARSENIC","TOTAL","4a","51","90","22","22","30","22","15","0","0.14","2.07 - 35.7","Yes","No exceedances","Keep in Category 4a","1"
"KLINGLE VALLEY","ARSENIC","ARSENIC","TOTAL","3","22","22","0","0","3","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","ARSENIC","ARSENIC","TOTAL","3","22","22","0","0","3","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","ARSENIC","TOTAL","3","38","38","7","7","16","7","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","7"
"NASH RUN","ARSENIC","ARSENIC","TOTAL","4a","30","31","6","6","10","6","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","ARSENIC","ARSENIC","TOTAL","Not Listed","24","24","0","0","2","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","ARSENIC","ARSENIC","TOTAL","3","36","36","0","0","3","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","ARSENIC","ARSENIC","TOTAL","3","24","24","0","0","2","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","ARSENIC","ARSENIC","TOTAL","3","25","25","0","0","3","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","ARSENIC","ARSENIC","TOTAL","3","22","22","1","1","3","1","1","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 3","11"
"PORTAL BRANCH","ARSENIC","ARSENIC","TOTAL","3","24","24","0","0","2","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","93","170","13","13","25","10","13","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14"
"POTOMAC MIDDLE","ARSENIC","ARSENIC","TOTAL","Not Listed","55","93","11","11","19","9","13","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14"
"POTOMAC UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","50","50","12","12","15","11","13","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14"
"ROCK CREEK LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","57","57","10","10","16","10","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","47","47","0","0","3","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","ARSENIC","ARSENIC","TOTAL","3","23","23","0","0","2","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","39","39","7","7","8","6","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","ARSENIC","ARSENIC","TOTAL","Not Listed","48","48","0","0","3","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","No exceedances","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","ARSENIC","ARSENIC","TOTAL","Not Listed","43","55","17","17","19","16","12","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14"
"WATTS BRANCH LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","41","41","3","3","6","3","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14"
"WATTS BRANCH UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","53","92","11","11","19","11","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14"
"BATTERY KEMBLE CREEK","ARSENIC","ARSENIC","TOTAL","3","42","42","0","0","4","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"C&O CANAL","ARSENIC","ARSENIC","TOTAL","Not Listed","38","69","0","0","6","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","42","42","6","6","9","5","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"FORT DAVIS TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","45","45","6","6","9","5","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"FOUNDRY BRANCH","ARSENIC","ARSENIC","TOTAL","Not Listed","9","10","0","0","2","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","COPPER","COPPER","TOTAL","4a","24","52","52","N/A - no Class D WQ criteria","52","N/A - no Class D WQ criteria","40","No exceedance","no criteria",NA,"No exceedance","No exceedances","Remove from Category 4a","0"
"ANACOSTIA UPPER","COPPER","COPPER","TOTAL","4a","14","56","56","N/A - no Class D WQ criteria","56","N/A - no Class D WQ criteria","37","No exceedance","no criteria",NA,"No exceedance","No exceedances","Remove from Category 4a","0"
"BROAD BRANCH","COPPER","COPPER","TOTAL","Not Listed","13","13","13","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","COPPER","COPPER","TOTAL","3","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"DUMBARTON OAKS","COPPER","COPPER","TOTAL","3","13","13","12","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"FENWICK BRANCH","COPPER","COPPER","TOTAL","3","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","COPPER","COPPER","TOTAL","3","19","19","19","N/A - no Class D WQ criteria","19","N/A - no Class D WQ criteria","16","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"FORT STANTON TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","19","20","20","N/A - no Class D WQ criteria","20","N/A - no Class D WQ criteria","16","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"HICKEY RUN","COPPER","COPPER","TOTAL","3","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","1","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"KINGMAN LAKE","COPPER","COPPER","TOTAL","3","13","25","25","N/A - no Class D WQ criteria","25","N/A - no Class D WQ criteria","15","No exceedance","no criteria",NA,"No exceedance","No exceedances","Remove from Category 3","0"
"KLINGLE VALLEY","COPPER","COPPER","TOTAL","3","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"LUZON BRANCH","COPPER","COPPER","TOTAL","3","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","COPPER","COPPER","TOTAL","3","13","13","11","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"NASH RUN","COPPER","COPPER","TOTAL","3","6","7","7","N/A - no Class D WQ criteria","7","N/A - no Class D WQ criteria","3","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"NORMANSTONE CREEK","COPPER","COPPER","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"OXON RUN","COPPER","COPPER","TOTAL","3","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"PINEHURST BRANCH","COPPER","COPPER","TOTAL","3","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"PINEY BRANCH","COPPER","COPPER","TOTAL","3","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"POPE BRANCH","COPPER","COPPER","TOTAL","3","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","1","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"PORTAL BRANCH","COPPER","COPPER","TOTAL","3","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
