"waterbody_segment","pollutant_group","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"ANACOSTIA LOWER","ARSENIC","","",145,80,2021,92,"2021",52,2021,0,"Yes","2018 - 2021"
"ANACOSTIA UPPER","ARSENIC","","",227,74,2019,100,"2019",56,2019,0,"Yes","2018 - 2021"
"BATTERY KEMBLE CREEK","ARSENIC","","",43,NA,2013,1,"2013",0,NA,NA,NA,NA
"BROAD BRANCH","ARSENIC","","",50,26,2021,21,"2021",10,2021,0,"Yes","2018 - 2021"
"C&O CANAL","ARSENIC","","",69,NA,2012,0,"never",0,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","ARSENIC","","",39,NA,2012,0,"never",0,NA,NA,NA,NA
"DUMBARTON OAKS","ARSENIC","","",50,26,2021,14,"2021",8,2021,0,"Yes","2018 - 2021"
"FENWICK BRANCH","ARSENIC","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","ARSENIC","","",48,6,2019,12,"2019",6,2019,0,"Yes","2018 - 2021"
"FORT DAVIS TRIBUTARY","ARSENIC","","",51,6,2019,11,"2019",6,2019,0,"Yes","2018 - 2021"
"FORT DUPONT TRIBUTARY","ARSENIC","","",64,32,2021,27,"2021",14,2021,0,"Yes","2018 - 2021"
"FORT STANTON TRIBUTARY","ARSENIC","","",76,32,2021,28,"2021",14,2021,0,"Yes","2018 - 2021"
"FOUNDRY BRANCH","ARSENIC","","",12,NA,2013,2,"2013",0,NA,NA,NA,NA
"HICKEY RUN","ARSENIC","","",42,2,2017,2,"2017",1,2017,0,NA,NA
"KINGMAN LAKE","ARSENIC","","",115,30,2019,43,"2019",22,2019,0,"Yes","2018 - 2021"
"KLINGLE VALLEY","ARSENIC","","",22,NA,2012,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","ARSENIC","","",22,NA,2012,0,"never",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","","",51,26,2021,13,"2021",7,2021,0,"Yes","2018 - 2021"
"NASH RUN","ARSENIC","","",38,6,2019,12,"2019",6,2019,0,"Yes","2018 - 2021"
"NORMANSTONE CREEK","ARSENIC","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"OXON RUN","ARSENIC","","",37,NA,2013,1,"2013",0,NA,NA,NA,NA
"PINEHURST BRANCH","ARSENIC","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"PINEY BRANCH","ARSENIC","","",26,NA,2013,0,"never",0,NA,NA,NA,NA
"POPE BRANCH","ARSENIC","","",23,2,2017,1,"2017",1,2017,0,NA,NA
"PORTAL BRANCH","ARSENIC","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"POTOMAC LOWER","ARSENIC","","",183,26,2021,23,"2021",13,2021,0,"Yes","2018 - 2021"
"POTOMAC MIDDLE","ARSENIC","","",106,26,2021,19,"2021",11,2021,0,"Yes","2018 - 2021"
"POTOMAC UPPER","ARSENIC","","",63,26,2021,21,"2021",12,2021,0,"Yes","2018 - 2021"
"ROCK CREEK LOWER","ARSENIC","","",70,26,2021,16,"2021",10,2021,0,"Yes","2018 - 2021"
"ROCK CREEK UPPER","ARSENIC","","",47,NA,2012,0,"never",0,NA,NA,NA,NA
"SOAPSTONE CREEK","ARSENIC","","",23,NA,2012,0,"never",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","ARSENIC","","",45,6,2019,13,"2019",7,2019,0,"Yes","2018 - 2021"
"TIDAL BASIN","ARSENIC","","",48,NA,2012,0,"never",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","ARSENIC","","",71,24,2016,29,"2016",17,2016,0,"Yes","2016 - 2019"
"WATTS BRANCH LOWER","ARSENIC","","",44,6,2017,5,"2017",3,2017,0,"Yes","2017 - 2020"
"WATTS BRANCH UPPER","ARSENIC","","",105,26,2021,22,"2021",11,2021,0,"Yes","2018 - 2021"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","","",52,40,2021,1,"2014",1,2014,48,NA,NA
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","","",105,86,2019,0,"never",0,NA,NA,NA,NA
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
