"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"ANACOSTIA LOWER","ARSENIC","TOTAL","","","93","40","2021","52","2021","52 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"ANACOSTIA UPPER","ARSENIC","TOTAL","","","171","37","2019","56","2019","56 (D)","2019 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"BROAD BRANCH","ARSENIC","TOTAL","","","37","13","2021","10","2021","10 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"DALECARLIA TRIBUTARY","ARSENIC","TOTAL","","","39","0","2012","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"DUMBARTON OAKS","ARSENIC","TOTAL","","","37","13","2021","8","2021","8 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"FENWICK BRANCH","ARSENIC","TOTAL","","","24","0","2012","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"FORT DUPONT TRIBUTARY","ARSENIC","TOTAL","","","45","16","2021","14","2021","14 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"FORT STANTON TRIBUTARY","ARSENIC","TOTAL","","","56","16","2021","14","2021","14 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"HICKEY RUN","ARSENIC","TOTAL","","","41","1","2017","1","2017","1 (D)","2017 (D)","0 (D)","No (D)","Never (D)"
"KINGMAN LAKE","ARSENIC","TOTAL","","","90","15","2019","22","2019","22 (D)","2019 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"KLINGLE VALLEY","ARSENIC","TOTAL","","","22","0","2012","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"LUZON BRANCH","ARSENIC","TOTAL","","","22","0","2012","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","TOTAL","","","38","13","2021","7","2021","7 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"NASH RUN","ARSENIC","TOTAL","","","31","3","2019","6","2019","6 (D)","2019 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"NORMANSTONE CREEK","ARSENIC","TOTAL","","","24","0","2012","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"OXON RUN","ARSENIC","TOTAL","","","36","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEHURST BRANCH","ARSENIC","TOTAL","","","24","0","2012","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"PINEY BRANCH","ARSENIC","TOTAL","","","25","0","2013","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POPE BRANCH","ARSENIC","TOTAL","","","22","1","2017","1","2017","1 (D)","2017 (D)","0 (D)","No (D)","Never (D)"
"PORTAL BRANCH","ARSENIC","TOTAL","","","24","0","2012","0","Never","0 (D)","Never (D)","0 (D)","No (D)","Never (D)"
"POTOMAC LOWER","ARSENIC","TOTAL","","","170","13","2021","13","2021","13 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"POTOMAC MIDDLE","ARSENIC","TOTAL","","","93","13","2021","11","2021","11 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
"POTOMAC UPPER","ARSENIC","TOTAL","","","50","13","2021","12","2021","12 (D)","2021 (D)","0 (D)","Yes (D)","2018 - 2021 (D)"
