"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","n_d_exceedance_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","tidal_type","decision_description","decision_case_number"
"ANACOSTIA LOWER","ARSENIC","ARSENIC","TOTAL","4a","64","93","52","52 (D)","55","52","40","40","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Tidal","Keep in in Category 4a","1"
"ANACOSTIA UPPER","ARSENIC","ARSENIC","TOTAL","4a","54","171","56","56 (D)","65","56","37","37","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Tidal","Keep in in Category 4a","1"
"BROAD BRANCH","ARSENIC","ARSENIC","TOTAL","Not Listed","37","37","10","10 (D)","16","10","13","10","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Move to Category 5","14"
"DALECARLIA TRIBUTARY","ARSENIC","ARSENIC","TOTAL","3","39","39","0","0 (D)","3","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","ARSENIC","ARSENIC","TOTAL","3","37","37","8","8 (D)","16","8","13","8","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Move to Category 5","7"
"FENWICK BRANCH","ARSENIC","ARSENIC","TOTAL","3","24","24","0","0 (D)","3","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","45","45","14","14 (D)","22","14","16","12","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Keep in in Category 4a","1"
"FORT STANTON TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","55","56","14","14 (D)","23","14","16","11","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Keep in in Category 4a","1"
"HICKEY RUN","ARSENIC","ARSENIC","TOTAL","3","41","41","1","1 (D)","3","1","1","1","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Move to Category 5","7"
"KINGMAN LAKE","ARSENIC","ARSENIC","TOTAL","4a","51","90","22","22 (D)","30","22","15","15","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Tidal","Keep in in Category 4a","1"
"KLINGLE VALLEY","ARSENIC","ARSENIC","TOTAL","3","22","22","0","0 (D)","3","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","ARSENIC","ARSENIC","TOTAL","3","22","22","0","0 (D)","3","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","ARSENIC","TOTAL","3","38","38","7","7 (D)","16","7","13","7","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Move to Category 5","7"
"NASH RUN","ARSENIC","ARSENIC","TOTAL","4a","30","31","6","6 (D)","10","6","3","3","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Keep in in Category 4a","1"
"NORMANSTONE CREEK","ARSENIC","ARSENIC","TOTAL","Not Listed","24","24","0","0 (D)","2","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Take no action","15"
