"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","fish_tissue_results_class_d","decision_description","decision_case_number","updated_tmdl"
"ANACOSTIA LOWER","ARSENIC","ARSENIC","TOTAL","4a","64","93","52","52","55","52","40","0","0.14","2.07 - 35.7","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"ANACOSTIA UPPER","ARSENIC","ARSENIC","TOTAL","4a","54","171","56","56","65","56","37","0","0.14","2.07 - 35.7","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"BROAD BRANCH","ARSENIC","ARSENIC","TOTAL","Not Listed","37","37","10","10","16","10","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14","No"
"DALECARLIA TRIBUTARY","ARSENIC","ARSENIC","TOTAL","3","39","39","0","0","3","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","ARSENIC","ARSENIC","TOTAL","3","37","37","8","8","16","8","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","7","No"
"FENWICK BRANCH","ARSENIC","ARSENIC","TOTAL","3","24","24","0","0","3","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","45","45","14","14","22","14","16","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"FORT STANTON TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","55","56","14","14","23","14","16","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"HICKEY RUN","ARSENIC","ARSENIC","TOTAL","3","41","41","1","1","3","1","1","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in in Category 3","11","No"
"KINGMAN LAKE","ARSENIC","ARSENIC","TOTAL","4a","51","90","22","22","30","22","15","0","0.14","2.07 - 35.7","Yes","No exceedances","Keep in in Category 4a","1","Yes"
"KLINGLE VALLEY","ARSENIC","ARSENIC","TOTAL","3","22","22","0","0","3","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","ARSENIC","ARSENIC","TOTAL","3","22","22","0","0","3","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","ARSENIC","TOTAL","3","38","38","7","7","16","7","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","7","No"
