"waterbody_segment","pollutant_name","pollutant_group","test_fraction","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance"
"ANACOSTIA LOWER","4_4_DDD","DDD",NA,52,2021,3,"2019",24,1,0,3,2014-09-22,"2014",NA,"Never",2019-06-11,"2019",48,NA,13
"ANACOSTIA LOWER","4_4_DDE","DDE",NA,52,2021,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA LOWER","4_4_DDT","DDT",NA,52,2021,5,"2021",24,2,0,5,2021-06-16,"2021",NA,"Never",2021-06-16,"2021",0,NA,0
"ANACOSTIA LOWER","ACENAPHTHENE","PAH1",NA,52,2021,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA LOWER","ANTHRACENE","PAH1",NA,52,2021,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA LOWER","BENZO_A_ANTHRACENE","PAH2",NA,52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",NA,NA,18
"ANACOSTIA LOWER","BENZO_A_PYRENE","PAH3",NA,52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",NA,NA,18
"ANACOSTIA LOWER","BENZO_B_FLUORANTHENE","PAH3",NA,52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",NA,NA,18
"ANACOSTIA LOWER","BENZO_K_FLUORANTHENE","PAH3",NA,52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",NA,NA,18
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,52,2021,1,"2014",24,0,0,1,NA,"Never",NA,"Never",2014-09-22,"2014",NA,NA,48
"ANACOSTIA LOWER","CHRYSENE","PAH2",NA,52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",NA,NA,18
"ANACOSTIA LOWER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,52,2021,1,"2016",24,0,0,1,NA,"Never",NA,"Never",2016-10-05,"2016",NA,NA,28
"ANACOSTIA LOWER","DIELDRIN","DIELDRIN",NA,52,2021,2,"2021",24,0,0,2,NA,"Never",NA,"Never",2021-06-16,"2021",NA,NA,0
"ANACOSTIA LOWER","FLUORANTHENE","PAH2",NA,52,2021,16,"2016",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA LOWER","FLUORENE","PAH1",NA,52,2021,1,"2016",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA LOWER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,52,2021,1,"2020",24,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",NA,NA,9
"ANACOSTIA LOWER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,52,2021,2,"2016",24,0,0,2,NA,"Never",NA,"Never",2016-12-01,"2016",NA,NA,18
"ANACOSTIA LOWER","NAPHTHALENE","PAH1",NA,52,2021,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA LOWER","PCB_TOTAL","PCB_TOTAL",NA,41,2021,41,"2021",13,0,0,41,NA,"Never",NA,"Never",2021-06-16,"2021",NA,NA,0
"ANACOSTIA LOWER","PYRENE","PAH2",NA,52,2021,14,"2016",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA UPPER","4_4_DDD","DDD",NA,105,2019,21,"2019",17,6,0,21,2019-06-11,"2019",NA,"Never",2019-06-11,"2019",0,NA,0
"ANACOSTIA UPPER","4_4_DDE","DDE",NA,105,2019,1,"2018",17,1,0,1,2018-08-30,"2018",NA,"Never",2018-08-30,"2018",54,NA,54
"ANACOSTIA UPPER","4_4_DDT","DDT",NA,105,2019,16,"2018",17,12,0,16,2018-12-20,"2018",NA,"Never",2018-12-20,"2018",23,NA,23
"ANACOSTIA UPPER","ACENAPHTHENE","PAH1",NA,56,2019,2,"2014",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA UPPER","ANTHRACENE","PAH1",NA,56,2019,3,"2014",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA UPPER","BENZO_A_ANTHRACENE","PAH2",NA,56,2019,5,"2016",14,0,0,5,NA,"Never",NA,"Never",2016-10-05,"2016",NA,NA,28
"ANACOSTIA UPPER","BENZO_A_PYRENE","PAH3",NA,56,2019,4,"2016",14,0,0,4,NA,"Never",NA,"Never",2016-10-05,"2016",NA,NA,28
"ANACOSTIA UPPER","BENZO_B_FLUORANTHENE","PAH3",NA,56,2019,7,"2016",14,0,0,7,NA,"Never",NA,"Never",2016-10-05,"2016",NA,NA,28
"ANACOSTIA UPPER","BENZO_K_FLUORANTHENE","PAH3",NA,56,2019,4,"2016",14,0,0,4,NA,"Never",NA,"Never",2016-10-05,"2016",NA,NA,28
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,105,2019,0,"Never",17,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA UPPER","CHRYSENE","PAH2",NA,56,2019,7,"2016",14,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",NA,NA,49
"ANACOSTIA UPPER","DIBENZO_A_H_ANTHRACENE","PAH3",NA,56,2019,1,"2016",14,0,0,1,NA,"Never",NA,"Never",2016-10-05,"2016",NA,NA,28
"ANACOSTIA UPPER","DIELDRIN","DIELDRIN",NA,105,2019,38,"2019",17,0,0,38,NA,"Never",NA,"Never",2019-06-11,"2019",NA,NA,0
"ANACOSTIA UPPER","FLUORANTHENE","PAH2",NA,56,2019,31,"2016",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA UPPER","FLUORENE","PAH1",NA,56,2019,2,"2014",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA UPPER","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,105,2019,23,"2019",17,1,0,23,2018-12-20,"2018",NA,"Never",2019-06-11,"2019",23,NA,0
"ANACOSTIA UPPER","INDENO_1_2_3_CD_PYRENE","PAH3",NA,56,2019,2,"2016",14,0,0,2,NA,"Never",NA,"Never",2016-10-05,"2016",NA,NA,28
"ANACOSTIA UPPER","NAPHTHALENE","PAH1",NA,56,2019,3,"2014",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"ANACOSTIA UPPER","PCB_TOTAL","PCB_TOTAL",NA,30,2016,30,"2016",8,2,0,30,2014-10-01,"2014",NA,"Never",2016-12-02,"2016",24,NA,0
"ANACOSTIA UPPER","PYRENE","PAH2",NA,56,2019,30,"2016",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","4_4_DDD","DDD",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","4_4_DDE","DDE",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","4_4_DDT","DDT",NA,14,2021,2,"2021",14,1,0,2,2020-12-08,"2020",NA,"Never",2021-03-17,"2021",6,NA,3
"BROAD BRANCH","ACENAPHTHENE","PAH1",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","ANTHRACENE","PAH1",NA,15,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","BENZO_A_ANTHRACENE","PAH2",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","BENZO_A_PYRENE","PAH3",NA,15,2021,1,"2020",15,0,0,1,NA,"Never",NA,"Never",2020-10-07,"2020",NA,NA,8
"BROAD BRANCH","BENZO_B_FLUORANTHENE","PAH3",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","BENZO_K_FLUORANTHENE","PAH3",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","CHLORDANE_TECHNICAL","CHLORDANE_TECHNICAL",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","CHRYSENE","PAH2",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","DIBENZO_A_H_ANTHRACENE","PAH3",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","DIELDRIN","DIELDRIN",NA,14,2021,9,"2021",14,0,0,9,NA,"Never",NA,"Never",2021-06-17,"2021",NA,NA,0
"BROAD BRANCH","FLUORANTHENE","PAH2",NA,15,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","FLUORENE","PAH1",NA,14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","HEPTACHLOR_EPOXIDE","HEPTACHLOR_EPOXIDE",NA,14,2021,8,"2021",14,1,0,8,2021-03-17,"2021",NA,"Never",2021-04-15,"2021",3,NA,2
"BROAD BRANCH","INDENO_1_2_3_CD_PYRENE","PAH3",NA,14,2021,1,"2020",14,0,0,1,NA,"Never",NA,"Never",2020-10-07,"2020",NA,NA,8
"BROAD BRANCH","NAPHTHALENE","PAH1",NA,15,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"BROAD BRANCH","PCB_TOTAL","PCB_TOTAL",NA,6,2021,6,"2021",6,0,0,6,NA,"Never",NA,"Never",2021-06-17,"2021",NA,NA,0
"BROAD BRANCH","PYRENE","PAH2",NA,15,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
"DALECARLIA TRIBUTARY","4_4_DDD","DDD",NA,1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",NA,NA,NA
