"","waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","current_category","ccc_dl_ratio","cmc_dl_ratio","d_dl_ratio"
"1","ANACOSTIA LOWER","ARSENIC","DISSOLVED","ARSENIC",52,2021,40,"2021",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,40,"Never",0,0,0,40,2021,30,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1"
"2","ANACOSTIA UPPER","ARSENIC","DISSOLVED","ARSENIC",56,2019,44,"2019",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,56,2019,44,"Never",0,0,0,37,2019,31,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1"
"3","BROAD BRANCH","ARSENIC","DISSOLVED","ARSENIC",13,2021,11,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,11,"Never",0,0,0,13,2021,11,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1"
"4","DUMBARTON OAKS","ARSENIC","DISSOLVED","ARSENIC",13,2021,6,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,6,"Never",0,0,0,13,2021,6,"Never",0,0,0,"3","less than 1","less than 1","greater than 1"
"5","FORT DUPONT TRIBUTARY","ARSENIC","DISSOLVED","ARSENIC",19,2021,13,"2021",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2021,13,"Never",0,0,0,16,2021,10,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1"
"6","FORT STANTON TRIBUTARY","ARSENIC","DISSOLVED","ARSENIC",20,2021,14,"2021",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,14,"Never",0,0,0,16,2021,10,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1"
"7","HICKEY RUN","ARSENIC","DISSOLVED","ARSENIC",1,2017,1,"2017",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2017,1,"Never",0,0,0,1,2017,1,"Never",0,0,0,"3","less than 1","less than 1","greater than 1"
"8","KINGMAN LAKE","ARSENIC","DISSOLVED","ARSENIC",25,2019,21,"2019",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,25,2019,21,"Never",0,0,0,15,2019,12,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1"
"9","MELVIN HAZEN VALLEY BRANCH","ARSENIC","DISSOLVED","ARSENIC",13,2021,6,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,6,"Never",0,0,0,13,2021,6,"Never",0,0,0,"3","less than 1","less than 1","greater than 1"
"10","NASH RUN","ARSENIC","DISSOLVED","ARSENIC",7,2019,6,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,6,"Never",0,0,0,3,2019,3,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1"
"11","OXON RUN","ARSENIC","DISSOLVED","ARSENIC",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","greater than 1"
"12","PINEY BRANCH","ARSENIC","DISSOLVED","ARSENIC",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","greater than 1"
"13","POPE BRANCH","ARSENIC","DISSOLVED","ARSENIC",1,2017,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2017,0,"Never",0,0,0,1,2017,0,"Never",0,0,0,"3","less than 1","less than 1","greater than 1"
"14","POTOMAC LOWER","ARSENIC","DISSOLVED","ARSENIC",13,2021,10,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,10,"Never",0,0,0,13,2021,10,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1"
"15","POTOMAC MIDDLE","ARSENIC","DISSOLVED","ARSENIC",13,2021,8,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,8,"Never",0,0,0,13,2021,8,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1"
"16","POTOMAC UPPER","ARSENIC","DISSOLVED","ARSENIC",13,2021,9,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,9,"Never",0,0,0,13,2021,9,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1"
"17","ROCK CREEK LOWER","ARSENIC","DISSOLVED","ARSENIC",13,2021,6,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,6,"Never",0,0,0,13,2021,6,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1"
"18","TEXAS AVENUE TRIBUTARY","ARSENIC","DISSOLVED","ARSENIC",6,2019,6,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,6,"Never",0,0,0,3,2019,3,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1"
"19","WASHINGTON SHIP CHANNEL","ARSENIC","DISSOLVED","ARSENIC",16,2016,12,"2016",4,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,16,2016,12,"Never",0,0,0,12,2016,8,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1"
"20","WATTS BRANCH LOWER","ARSENIC","DISSOLVED","ARSENIC",3,2017,2,"2017",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2017,2,"Never",0,0,0,3,2017,2,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1"
"21","WATTS BRANCH UPPER","ARSENIC","DISSOLVED","ARSENIC",13,2021,11,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,11,"Never",0,0,0,13,2021,11,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1"
"22","BATTERY KEMBLE CREEK","ARSENIC","DISSOLVED","ARSENIC",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","greater than 1"
"23","FORT CHAPLIN TRIBUTARY","ARSENIC","DISSOLVED","ARSENIC",6,2019,6,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,6,"Never",0,0,0,3,2019,3,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1"
"24","FORT DAVIS TRIBUTARY","ARSENIC","DISSOLVED","ARSENIC",6,2019,5,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,5,"Never",0,0,0,3,2019,3,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1"
"25","FOUNDRY BRANCH","ARSENIC","DISSOLVED","ARSENIC",2,2013,2,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,2,"Never",0,0,0,NA,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","less than 1","greater than 1"
"26","ANACOSTIA LOWER","COPPER","DISSOLVED","COPPER",52,2021,52,"2021",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,52,"Never",0,0,0,40,2021,40,"Never",0,0,0,"4a","less than 1","less than 1","NA"
"27","ANACOSTIA UPPER","COPPER","DISSOLVED","COPPER",56,2019,56,"2019",14,1,0,0,2016-12-01,"2016",NA,"Never",NA,"Never",21,0,0,56,2019,56,"Never",1,0,0,37,2019,37,"Never",1,0,0,"4a","less than 1","less than 1","NA"
"28","BROAD BRANCH","COPPER","DISSOLVED","COPPER",13,2021,13,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,13,"Never",0,0,0,13,2021,13,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA"
"29","DUMBARTON OAKS","COPPER","DISSOLVED","COPPER",13,2021,11,"2021",13,1,1,0,2020-08-12,"2020",2020-08-12,"2020",NA,"Never",10,10,0,13,2021,11,"Never",1,1,0,13,2021,11,"Never",1,1,0,"3","less than 1","less than 1","NA"
"30","FORT DUPONT TRIBUTARY","COPPER","DISSOLVED","COPPER",19,2021,18,"2021",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2021,18,"Never",0,0,0,16,2021,15,"Never",0,0,0,"3","less than 1","less than 1","NA"
"31","FORT STANTON TRIBUTARY","COPPER","DISSOLVED","COPPER",20,2021,19,"2021",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,19,"Never",0,0,0,16,2021,15,"Never",0,0,0,"Not Listed","less than 1","less than 1","NA"
"32","HICKEY RUN","COPPER","DISSOLVED","COPPER",150,2021,147,"2021",150,1,0,0,2018-01-12,"2018",NA,"Never",NA,"Never",71,0,0,150,2021,147,"Never",1,0,0,102,2021,100,"Never",1,0,0,"3","less than 1","less than 1","NA"
"33","KINGMAN LAKE","COPPER","DISSOLVED","COPPER",25,2019,25,"2019",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,25,2019,25,"Never",0,0,0,15,2019,15,"Never",0,0,0,"3","less than 1","less than 1","NA"
