"Waterbody","Pollutant","Pollutant Group","Test Fraction","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"ANACOSTIA LOWER","ARSENIC","ARSENIC","TOTAL","4a","D","104","63","63","63","63","27","0","0.14","2.07 - 35.7","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","ARSENIC","ARSENIC","TOTAL","4a","D","171","56","56","56","56","19","0","0.14","2.07 - 35.7","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","ARSENIC","ARSENIC","TOTAL","Not Listed","none","48","18","18","24","18","24","1","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14"
"DALECARLIA TRIBUTARY","ARSENIC","ARSENIC","TOTAL","3","D","39","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","ARSENIC","ARSENIC","TOTAL","3","D","48","9","9","24","9","24","10","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","7"
"FENWICK BRANCH","ARSENIC","ARSENIC","TOTAL","3","D","24","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","D","56","22","22","30","22","27","1","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"FORT STANTON TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","D","68","22","22","32","22","28","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"HICKEY RUN","ARSENIC","ARSENIC","TOTAL","3","D","41","1","1","1","1","0","0","0.14","2.07 - 35.7","No","NA - not sampled","Keep in Category 3","11"
"KINGMAN LAKE","ARSENIC","ARSENIC","TOTAL","4a","D","90","22","22","25","22","3","0","0.14","2.07 - 35.7","Yes","No exceedances","Keep in Category 4a","1"
